origin,destination,trips,date
17031050100,17031051100,80,2019-12-30
17031050200,17031051100,130,2019-12-30
17031050600,17031051100,80,2019-12-30
17031050800,17031051100,224,2019-12-30
17031051100,17031051100,400,2019-12-30
17031051200,17031051100,119,2019-12-30
17031062400,17031051100,93,2019-12-30
17031062500,17031051100,329,2019-12-30
17031062600,17031051100,102,2019-12-30
17031062700,17031051100,105,2019-12-30
17031063000,17031051100,85,2019-12-30
17031070600,17031051100,181,2019-12-30
17031070700,17031051100,140,2019-12-30
17031071000,17031051100,98,2019-12-30
17031071100,17031051100,408,2019-12-30
17031071300,17031051100,132,2019-12-30
17031071500,17031051100,203,2019-12-30
17031081000,17031051100,98,2019-12-30
17031081201,17031051100,177,2019-12-30
17031081401,17031051100,126,2019-12-30
17031081700,17031051100,206,2019-12-30
17031160700,17031051100,105,2019-12-30
17031210900,17031051100,181,2019-12-30
17031221100,17031051100,92,2019-12-30
17031221600,17031051100,209,2019-12-30
17031243100,17031051100,143,2019-12-30
17031801608,17031051100,109,2019-12-30
17031805201,17031051100,209,2019-12-30
17031805402,17031051100,94,2019-12-30
17031808100,17031051100,106,2019-12-30
17031808301,17031051100,135,2019-12-30
17031810502,17031051100,80,2019-12-30
17031820000,17031051100,95,2019-12-30
17031823602,17031051100,112,2019-12-30
17031830900,17031051100,310,2019-12-30
17031831000,17031051100,84,2019-12-30
17031831900,17031051100,87,2019-12-30
17031832500,17031051100,93,2019-12-30
17031832600,17031051100,187,2019-12-30
17031833100,17031051100,260,2019-12-30
17031837800,17031051100,96,2019-12-30
17031839100,17031051100,617,2019-12-30
17031843700,17031051100,779,2019-12-30
17031980000,17031051100,221,2019-12-30
17043840600,17031051100,90,2019-12-30
17031040700,17031051100,85,2020-01-06
17031050200,17031051100,199,2020-01-06
17031050500,17031051100,226,2020-01-06
17031050600,17031051100,101,2020-01-06
17031050800,17031051100,265,2020-01-06
17031050900,17031051100,174,2020-01-06
17031051100,17031051100,794,2020-01-06
17031062100,17031051100,145,2020-01-06
17031062400,17031051100,267,2020-01-06
17031062600,17031051100,442,2020-01-06
17031062700,17031051100,93,2020-01-06
17031063301,17031051100,78,2020-01-06
17031070101,17031051100,76,2020-01-06
17031070103,17031051100,188,2020-01-06
17031070200,17031051100,80,2020-01-06
17031070700,17031051100,237,2020-01-06
17031071000,17031051100,104,2020-01-06
17031071200,17031051100,86,2020-01-06
17031071300,17031051100,136,2020-01-06
17031071800,17031051100,122,2020-01-06
17031081201,17031051100,357,2020-01-06
17031081300,17031051100,76,2020-01-06
17031081401,17031051100,343,2020-01-06
17031081600,17031051100,105,2020-01-06
17031081700,17031051100,319,2020-01-06
17031140400,17031051100,76,2020-01-06
17031160502,17031051100,74,2020-01-06
17031210800,17031051100,90,2020-01-06
17031240200,17031051100,82,2020-01-06
17031242200,17031051100,80,2020-01-06
