origin,destination,trips,date
17031020802,17031221600,188,2019-12-30
17031031900,17031221600,111,2019-12-30
17031050200,17031221600,95,2019-12-30
17031051300,17031221600,173,2019-12-30
17031060400,17031221600,85,2019-12-30
17031060900,17031221600,100,2019-12-30
17031062900,17031221600,94,2019-12-30
17031063000,17031221600,440,2019-12-30
17031063100,17031221600,85,2019-12-30
17031070101,17031221600,190,2019-12-30
17031070500,17031221600,155,2019-12-30
17031070600,17031221600,146,2019-12-30
17031070700,17031221600,735,2019-12-30
17031071200,17031221600,87,2019-12-30
17031071500,17031221600,208,2019-12-30
17031081300,17031221600,102,2019-12-30
17031081401,17031221600,412,2019-12-30
17031081402,17031221600,109,2019-12-30
17031081403,17031221600,137,2019-12-30
17031081500,17031221600,108,2019-12-30
17031081600,17031221600,106,2019-12-30
17031081800,17031221600,159,2019-12-30
17031140701,17031221600,197,2019-12-30
17031160800,17031221600,92,2019-12-30
17031200100,17031221600,148,2019-12-30
17031210800,17031221600,92,2019-12-30
17031220500,17031221600,117,2019-12-30
17031221300,17031221600,288,2019-12-30
17031221400,17031221600,219,2019-12-30
17031221500,17031221600,316,2019-12-30
17031221600,17031221600,918,2019-12-30
17031222200,17031221600,304,2019-12-30
17031241200,17031221600,195,2019-12-30
17031241400,17031221600,299,2019-12-30
17031242100,17031221600,107,2019-12-30
17031242300,17031221600,94,2019-12-30
17031242400,17031221600,133,2019-12-30
17031242600,17031221600,161,2019-12-30
17031243500,17031221600,112,2019-12-30
17031281900,17031221600,323,2019-12-30
17031340400,17031221600,99,2019-12-30
17031411000,17031221600,93,2019-12-30
17031660800,17031221600,97,2019-12-30
17031800200,17031221600,96,2019-12-30
17031801500,17031221600,190,2019-12-30
17031812700,17031221600,161,2019-12-30
17031813801,17031221600,95,2019-12-30
17031815900,17031221600,239,2019-12-30
17031816700,17031221600,186,2019-12-30
17031819400,17031221600,102,2019-12-30
17031820104,17031221600,96,2019-12-30
17031820202,17031221600,203,2019-12-30
17031830900,17031221600,509,2019-12-30
17031831000,17031221600,185,2019-12-30
17031831200,17031221600,166,2019-12-30
17031831600,17031221600,142,2019-12-30
17031831900,17031221600,85,2019-12-30
17031832200,17031221600,108,2019-12-30
17031832300,17031221600,341,2019-12-30
17031832400,17031221600,200,2019-12-30
17031832500,17031221600,129,2019-12-30
17031832600,17031221600,84,2019-12-30
17031833000,17031221600,193,2019-12-30
17031839100,17031221600,462,2019-12-30
17031842200,17031221600,196,2019-12-30
17031842300,17031221600,168,2019-12-30
17031980000,17031221600,395,2019-12-30
17043845100,17031221600,106,2019-12-30
17089852806,17031221600,105,2019-12-30
17097861604,17031221600,95,2019-12-30
18111100500,17031221600,84,2019-12-30
17031010702,17031221600,126,2020-01-06
17031040202,17031221600,225,2020-01-06
17031040300,17031221600,92,2020-01-06
17031040900,17031221600,83,2020-01-06
17031051400,17031221600,90,2020-01-06
17031060800,17031221600,118,2020-01-06
17031060900,17031221600,82,2020-01-06
17031061000,17031221600,135,2020-01-06
17031061901,17031221600,85,2020-01-06
17031062600,17031221600,78,2020-01-06
17031062700,17031221600,70,2020-01-06
17031062800,17031221600,88,2020-01-06
17031063000,17031221600,94,2020-01-06
17031063302,17031221600,86,2020-01-06
17031070102,17031221600,87,2020-01-06
17031070500,17031221600,222,2020-01-06
17031070700,17031221600,162,2020-01-06
17031071500,17031221600,87,2020-01-06
17031080201,17031221600,135,2020-01-06
17031081201,17031221600,95,2020-01-06
17031081401,17031221600,1286,2020-01-06
17031081500,17031221600,364,2020-01-06
17031081600,17031221600,88,2020-01-06
17031081800,17031221600,325,2020-01-06
17031160700,17031221600,109,2020-01-06
17031160800,17031221600,83,2020-01-06
17031210700,17031221600,135,2020-01-06
17031210900,17031221600,116,2020-01-06
17031220902,17031221600,70,2020-01-06
17031221500,17031221600,196,2020-01-06
17031221600,17031221600,839,2020-01-06
17031222200,17031221600,383,2020-01-06
17031241200,17031221600,78,2020-01-06
17031242600,17031221600,101,2020-01-06
17031243500,17031221600,99,2020-01-06
17031310600,17031221600,72,2020-01-06
17031381200,17031221600,121,2020-01-06
17031650301,17031221600,90,2020-01-06
17031800200,17031221600,118,2020-01-06
17031801901,17031221600,77,2020-01-06
17031806600,17031221600,83,2020-01-06
17031806900,17031221600,195,2020-01-06
17031807900,17031221600,113,2020-01-06
17031808800,17031221600,84,2020-01-06
17031812700,17031221600,183,2020-01-06
17031813801,17031221600,168,2020-01-06
17031815900,17031221600,69,2020-01-06
17031819100,17031221600,84,2020-01-06
17031822801,17031221600,166,2020-01-06
17031823400,17031221600,198,2020-01-06
17031823605,17031221600,383,2020-01-06
17031823703,17031221600,67,2020-01-06
17031830900,17031221600,358,2020-01-06
17031831000,17031221600,156,2020-01-06
17031832200,17031221600,91,2020-01-06
17031832300,17031221600,100,2020-01-06
17031832500,17031221600,169,2020-01-06
17031833000,17031221600,286,2020-01-06
17031833100,17031221600,624,2020-01-06
17031835900,17031221600,123,2020-01-06
17031837400,17031221600,112,2020-01-06
17031838100,17031221600,81,2020-01-06
17031839000,17031221600,185,2020-01-06
17031839100,17031221600,1124,2020-01-06
17031842000,17031221600,134,2020-01-06
17031842200,17031221600,86,2020-01-06
17031842300,17031221600,220,2020-01-06
17031843700,17031221600,567,2020-01-06
17031980000,17031221600,121,2020-01-06
17043844301,17031221600,187,2020-01-06
