origin,destination,trips,date
34003023100,36081071100,114,2019-12-30
34013007800,36081071100,158,2019-12-30
36005006500,36081071100,107,2019-12-30
36005020400,36081071100,144,2019-12-30
36005022703,36081071100,293,2019-12-30
36005023900,36081071100,144,2019-12-30
36005039600,36081071100,136,2019-12-30
36047000900,36081071100,108,2019-12-30
36047012902,36081071100,96,2019-12-30
36047024000,36081071100,192,2019-12-30
36047028400,36081071100,104,2019-12-30
36047033900,36081071100,224,2019-12-30
36047035200,36081071100,98,2019-12-30
36047036200,36081071100,120,2019-12-30
36047041800,36081071100,133,2019-12-30
36047051200,36081071100,112,2019-12-30
36047051300,36081071100,142,2019-12-30
36047057800,36081071100,123,2019-12-30
36047069800,36081071100,166,2019-12-30
36047086200,36081071100,112,2019-12-30
36047114400,36081071100,202,2019-12-30
36047121000,36081071100,143,2019-12-30
36059300700,36081071100,663,2019-12-30
36059301800,36081071100,331,2019-12-30
36059302800,36081071100,122,2019-12-30
36059303101,36081071100,101,2019-12-30
36059303201,36081071100,102,2019-12-30
36059303900,36081071100,116,2019-12-30
36059304202,36081071100,132,2019-12-30
36059406100,36081071100,144,2019-12-30
36059407301,36081071100,479,2019-12-30
36059411000,36081071100,251,2019-12-30
36059411600,36081071100,104,2019-12-30
36059413400,36081071100,134,2019-12-30
36059416202,36081071100,337,2019-12-30
36059519300,36081071100,102,2019-12-30
36061001300,36081071100,130,2019-12-30
36061001402,36081071100,144,2019-12-30
36061001501,36081071100,118,2019-12-30
36061001800,36081071100,104,2019-12-30
36061002900,36081071100,120,2019-12-30
36061004100,36081071100,105,2019-12-30
36061004800,36081071100,217,2019-12-30
36061005200,36081071100,224,2019-12-30
36061005400,36081071100,124,2019-12-30
36061005800,36081071100,204,2019-12-30
36061006100,36081071100,126,2019-12-30
36061006300,36081071100,218,2019-12-30
36061006500,36081071100,148,2019-12-30
36061006700,36081071100,205,2019-12-30
36061006800,36081071100,209,2019-12-30
36061007400,36081071100,256,2019-12-30
36061007600,36081071100,112,2019-12-30
36061008000,36081071100,127,2019-12-30
36061008602,36081071100,173,2019-12-30
36061009800,36081071100,102,2019-12-30
36061009900,36081071100,160,2019-12-30
36061010100,36081071100,554,2019-12-30
36061010200,36081071100,108,2019-12-30
36061010300,36081071100,113,2019-12-30
36061010601,36081071100,118,2019-12-30
36061011202,36081071100,108,2019-12-30
36061011300,36081071100,102,2019-12-30
36061011401,36081071100,218,2019-12-30
36061011402,36081071100,104,2019-12-30
36061011600,36081071100,592,2019-12-30
36061011800,36081071100,341,2019-12-30
36061011900,36081071100,141,2019-12-30
36061012000,36081071100,120,2019-12-30
36061012200,36081071100,135,2019-12-30
36061012400,36081071100,141,2019-12-30
36061013900,36081071100,100,2019-12-30
36061014000,36081071100,132,2019-12-30
36061014300,36081071100,213,2019-12-30
36061015200,36081071100,310,2019-12-30
36061018400,36081071100,155,2019-12-30
36061019300,36081071100,162,2019-12-30
36061021500,36081071100,111,2019-12-30
36061025500,36081071100,203,2019-12-30
36081001000,36081071100,138,2019-12-30
36081001900,36081071100,442,2019-12-30
36081002500,36081071100,130,2019-12-30
36081006100,36081071100,136,2019-12-30
36081007500,36081071100,144,2019-12-30
36081007700,36081071100,188,2019-12-30
36081009600,36081071100,118,2019-12-30
36081014202,36081071100,109,2019-12-30
36081017100,36081071100,126,2019-12-30
36081022001,36081071100,140,2019-12-30
36081023200,36081071100,146,2019-12-30
36081023800,36081071100,109,2019-12-30
36081024000,36081071100,502,2019-12-30
36081024300,36081071100,323,2019-12-30
36081025900,36081071100,127,2019-12-30
36081026700,36081071100,278,2019-12-30
36081027100,36081071100,216,2019-12-30
36081027300,36081071100,107,2019-12-30
36081027700,36081071100,192,2019-12-30
36081028500,36081071100,171,2019-12-30
36081028900,36081071100,307,2019-12-30
36081033700,36081071100,247,2019-12-30
36081035300,36081071100,167,2019-12-30
36081037300,36081071100,118,2019-12-30
36081038302,36081071100,585,2019-12-30
36081039900,36081071100,109,2019-12-30
36081040700,36081071100,117,2019-12-30
36081041500,36081071100,251,2019-12-30
36081042700,36081071100,112,2019-12-30
36081044301,36081071100,272,2019-12-30
36081044400,36081071100,107,2019-12-30
36081044601,36081071100,605,2019-12-30
36081045400,36081071100,99,2019-12-30
36081045600,36081071100,133,2019-12-30
36081046000,36081071100,114,2019-12-30
36081046800,36081071100,119,2019-12-30
36081047100,36081071100,122,2019-12-30
36081047300,36081071100,478,2019-12-30
36081047800,36081071100,121,2019-12-30
36081047900,36081071100,317,2019-12-30
36081048500,36081071100,304,2019-12-30
36081048900,36081071100,189,2019-12-30
36081049302,36081071100,114,2019-12-30
36081055300,36081071100,119,2019-12-30
36081061200,36081071100,104,2019-12-30
36081063700,36081071100,894,2019-12-30
36081064102,36081071100,153,2019-12-30
36081064500,36081071100,795,2019-12-30
36081065703,36081071100,124,2019-12-30
36081067900,36081071100,572,2019-12-30
36081068300,36081071100,116,2019-12-30
36081068700,36081071100,167,2019-12-30
36081069300,36081071100,339,2019-12-30
36081069500,36081071100,261,2019-12-30
36081069702,36081071100,138,2019-12-30
36081070300,36081071100,208,2019-12-30
36081070700,36081071100,287,2019-12-30
36081070900,36081071100,1406,2019-12-30
36081071100,36081071100,6338,2019-12-30
36081071303,36081071100,979,2019-12-30
36081071304,36081071100,377,2019-12-30
36081071305,36081071100,702,2019-12-30
36081071306,36081071100,578,2019-12-30
36081071600,36081071100,538,2019-12-30
36081071701,36081071100,620,2019-12-30
36081071702,36081071100,939,2019-12-30
36081071900,36081071100,238,2019-12-30
36081072100,36081071100,162,2019-12-30
36081072300,36081071100,673,2019-12-30
36081072900,36081071100,299,2019-12-30
36081073100,36081071100,116,2019-12-30
36081073700,36081071100,1637,2019-12-30
36081073900,36081071100,1158,2019-12-30
36081074100,36081071100,139,2019-12-30
36081074500,36081071100,144,2019-12-30
36081075701,36081071100,422,2019-12-30
36081075702,36081071100,96,2019-12-30
36081077300,36081071100,152,2019-12-30
36081077500,36081071100,128,2019-12-30
36081077902,36081071100,113,2019-12-30
36081077904,36081071100,156,2019-12-30
36081077906,36081071100,135,2019-12-30
36081080900,36081071100,449,2019-12-30
36081085300,36081071100,114,2019-12-30
36081085700,36081071100,130,2019-12-30
36081086400,36081071100,163,2019-12-30
36081087100,36081071100,112,2019-12-30
36081088901,36081071100,97,2019-12-30
36081094500,36081071100,236,2019-12-30
36081099701,36081071100,128,2019-12-30
36081099704,36081071100,125,2019-12-30
36081100802,36081071100,117,2019-12-30
36081112300,36081071100,259,2019-12-30
36081117100,36081071100,104,2019-12-30
36081122300,36081071100,259,2019-12-30
36081122702,36081071100,137,2019-12-30
36081126500,36081071100,157,2019-12-30
36081127700,36081071100,342,2019-12-30
36081133900,36081071100,111,2019-12-30
36081134700,36081071100,130,2019-12-30
36081144700,36081071100,116,2019-12-30
36081145101,36081071100,118,2019-12-30
36081155102,36081071100,175,2019-12-30
36103158323,36081071100,107,2019-12-30
36103169704,36081071100,139,2019-12-30
34003017500,36081071100,83,2020-01-06
34003042302,36081071100,69,2020-01-06
34013004900,36081071100,86,2020-01-06
34013980200,36081071100,87,2020-01-06
34017004101,36081071100,155,2020-01-06
34017010800,36081071100,102,2020-01-06
34023008700,36081071100,72,2020-01-06
34025805800,36081071100,145,2020-01-06
34025805900,36081071100,84,2020-01-06
34027045502,36081071100,86,2020-01-06
34031246203,36081071100,82,2020-01-06
36005003300,36081071100,144,2020-01-06
36005006300,36081071100,83,2020-01-06
36005006500,36081071100,118,2020-01-06
36005036300,36081071100,133,2020-01-06
36005039600,36081071100,118,2020-01-06
36047003300,36081071100,428,2020-01-06
36047003500,36081071100,90,2020-01-06
36047021700,36081071100,92,2020-01-06
36047021900,36081071100,146,2020-01-06
