origin,destination,minutes
17089851302,17031100100,176.04
17089852001,17031100100,201.25
17089852002,17031100100,205.59
17089851400,17031100100,176.25
17089851801,17031100100,186.03
17089852003,17031100100,197.3
17089851500,17031100100,178.83
17089850800,17031100100,177.1
17089850201,17031100100,181.0
17089850500,17031100100,182.59
17089850400,17031100100,179.03
17089850202,17031100100,177.29
17111871402,17031100100,183.43
17031804716,17031100100,121.56
17031804511,17031100100,135.67
17031804509,17031100100,137.13
17031804510,17031100100,134.26
17031804309,17031100100,137.3
17031804404,17031100100,166.67
17031804406,17031100100,171.1
17031804507,17031100100,165.41
17031804403,17031100100,168.75
17031804310,17031100100,157.2
17031804311,17031100100,164.54
17031804714,17031100100,120.26
17031804508,17031100100,145.38
17031804506,17031100100,151.87
17031804405,17031100100,166.98
17031804308,17031100100,137.85
17031804104,17031100100,132.44
17031804105,17031100100,126.93
17031804201,17031100100,148.09
17031804202,17031100100,142.6
17031804305,17031100100,141.64
17031804306,17031100100,144.38
17031804505,17031100100,144.88
17031804701,17031100100,129.88
17031804705,17031100100,125.41
17031804710,17031100100,122.12
17031804711,17031100100,134.78
17031804712,17031100100,129.81
17031804804,17031100100,125.8
17031804805,17031100100,128.85
17031804806,17031100100,128.9
17031804807,17031100100,123.06
17031803603,17031100100,127.27
17089851301,17031100100,175.48
17043842601,17031100100,166.16
17043842602,17031100100,165.62
17043841315,17031100100,141.16
17043841318,17031100100,153.11
17043841321,17031100100,150.69
17043841326,17031100100,169.65
17043841323,17031100100,155.04
17043841327,17031100100,161.91
17043841322,17031100100,151.59
17043842603,17031100100,158.59
17043842604,17031100100,164.25
17043842605,17031100100,157.46
17043841114,17031100100,134.51
17043841112,17031100100,132.74
17043841210,17031100100,148.47
17043841208,17031100100,137.75
17043841704,17031100100,153.49
17043841310,17031100100,187.39
17043841308,17031100100,170.14
17043846519,17031100100,206.98
17043846504,17031100100,197.66
17043846405,17031100100,193.33
17043846404,17031100100,190.07
17043841606,17031100100,182.75
17043841209,17031100100,145.05
17043841324,17031100100,154.05
17043841320,17031100100,146.89
17043841312,17031100100,179.91
17043846524,17031100100,213.67
17043841102,17031100100,130.53
17043841108,17031100100,139.21
17043841205,17031100100,149.01
17043846411,17031100100,210.41
17043841206,17031100100,156.35
17043841307,17031100100,158.72
17043841401,17031100100,171.63
17043841501,17031100100,180.16
17043841603,17031100100,181.88
17043841802,17031100100,157.98
17043846412,17031100100,204.16
17043846413,17031100100,200.85
17043841607,17031100100,190.04
