origin,destination,minutes
17053961600,17031720500,105.07
17105960200,17031720500,96.0
17075950300,17031720500,89.31
17099964000,17031720500,110.05
17099963700,17031720500,97.01
17091012600,17031720500,77.06
17091010300,17031720500,81.07
17105960100,17031720500,85.42
17105960300,17031720500,118.44
17075950200,17031720500,70.95
17063000900,17031720500,81.91
17063000600,17031720500,87.22
17075950100,17031720500,94.74
17197884004,17031720500,69.04
17091012500,17031720500,58.62
17091010400,17031720500,66.81
17063000800,17031720500,71.75
17063000500,17031720500,72.99
17197883304,17031720500,65.45
17197884003,17031720500,66.87
17197883401,17031720500,63.97
17197884005,17031720500,76.29
17197980000,17031720500,70.58
17197884006,17031720500,68.44
17197883402,17031720500,65.53
17099962500,17031720500,86.46
17099962400,17031720500,90.85
17099962600,17031720500,88.12
17099962300,17031720500,94.87
17099962200,17031720500,99.04
17091012300,17031720500,55.26
17091012200,17031720500,59.41
17091012100,17031720500,57.52
17091011500,17031720500,54.7
17091011600,17031720500,54.45
17091011900,17031720500,53.23
17091011700,17031720500,56.03
17091012000,17031720500,52.03
17091011800,17031720500,54.77
17091010500,17031720500,56.01
17091011400,17031720500,53.9
17091011300,17031720500,58.91
17091011200,17031720500,69.7
17091010800,17031720500,72.11
17091010701,17031720500,54.67
17091010601,17031720500,52.03
17091010201,17031720500,46.74
17091010702,17031720500,51.73
17091010602,17031720500,50.48
17091010202,17031720500,43.23
17091011100,17031720500,71.88
17091011000,17031720500,85.44
17091010900,17031720500,67.44
17091010100,17031720500,63.39
17091012400,17031720500,56.78
17063000103,17031720500,60.57
17063000300,17031720500,66.53
17063000400,17031720500,67.86
17063000700,17031720500,80.56
17063000200,17031720500,67.18
17197883303,17031720500,60.23
17197883307,17031720500,51.74
17197883903,17031720500,42.06
17197883904,17031720500,39.57
17197883305,17031720500,52.33
17197883306,17031720500,57.15
17197883509,17031720500,48.76
17099961800,17031720500,119.74
17093890700,17031720500,67.06
17063000102,17031720500,57.09
17197880419,17031720500,57.92
17197880420,17031720500,59.59
17197883213,17031720500,53.48
17197883215,17031720500,57.11
17197883214,17031720500,53.51
17197883210,17031720500,49.16
17197883211,17031720500,47.41
17197882802,17031720500,46.09
17197880421,17031720500,51.52
17197883206,17031720500,47.85
17197883216,17031720500,53.72
17197883100,17031720500,43.0
17197882900,17031720500,43.28
17197883212,17031720500,55.8
17197880418,17031720500,56.8
17099961701,17031720500,102.9
17099961702,17031720500,106.24
17037002100,17031720500,93.6
17037002000,17031720500,94.87
17037001900,17031720500,101.49
17037001800,17031720500,100.27
17037001700,17031720500,85.59
17093890102,17031720500,68.56
17093890500,17031720500,84.91
17093890600,17031720500,72.73
17093890400,17031720500,74.66
17037001400,17031720500,89.0
17037000300,17031720500,102.19
17089852403,17031720500,81.5
17197882601,17031720500,43.5
17197882602,17031720500,42.41
17197882702,17031720500,44.2
17197881601,17031720500,47.35
17197883516,17031720500,34.41
17197881116,17031720500,35.65
17197881112,17031720500,40.64
17197881302,17031720500,41.07
17197883208,17031720500,50.2
17197881604,17031720500,49.62
17197880903,17031720500,48.82
17197881402,17031720500,47.0
17197881108,17031720500,37.19
17197880901,17031720500,53.14
17197884103,17031720500,48.41
17197883209,17031720500,54.11
17197880414,17031720500,54.1
17197880410,17031720500,49.79
17197880415,17031720500,53.35
17197880417,17031720500,51.28
17197880411,17031720500,46.16
17197980100,17031720500,49.67
17197880702,17031720500,45.13
17197881115,17031720500,39.16
17197881113,17031720500,40.92
17197881111,17031720500,36.93
17197881107,17031720500,37.91
17197881301,17031720500,42.77
17197882701,17031720500,44.57
17197882801,17031720500,44.81
17197881603,17031720500,48.64
17197881401,17031720500,45.99
17197880905,17031720500,47.39
17197883902,17031720500,45.28
17197880404,17031720500,50.77
17197881105,17031720500,40.32
17197883602,17031720500,30.52
17197880412,17031720500,54.09
17197882500,17031720500,41.16
17197882100,17031720500,40.94
17197882000,17031720500,40.99
17197881900,17031720500,44.42
17197881800,17031720500,46.08
17197881700,17031720500,45.68
17197881500,17031720500,47.09
17197883000,17031720500,40.54
17197882400,17031720500,41.69
17197882300,17031720500,39.1
17197882200,17031720500,39.04
17197881200,17031720500,39.64
17197883504,17031720500,31.34
17197881109,17031720500,41.55
17197883507,17031720500,33.93
17197883510,17031720500,46.89
17197880416,17031720500,55.41
17197884101,17031720500,48.7
17197880313,17031720500,61.41
17197880314,17031720500,57.02
17197880308,17031720500,49.18
17197880408,17031720500,47.06
17197880507,17031720500,48.75
17197880310,17031720500,54.94
17197880312,17031720500,57.07
17037001600,17031720500,93.91
17037001500,17031720500,90.92
17093890101,17031720500,62.04
17093890302,17031720500,66.56
17093890301,17031720500,70.85
17093890201,17031720500,63.67
17093890202,17031720500,65.51
17089854700,17031720500,65.12
17089854503,17031720500,68.51
17089854504,17031720500,71.64
17089853005,17031720500,65.92
17089854501,17031720500,77.58
17089854200,17031720500,66.23
17089853900,17031720500,67.61
17089854400,17031720500,60.03
17089854100,17031720500,65.91
