origin,destination,minutes
17031811900,17031222700,119.32
17031812000,17031222700,139.76
17031810702,17031222700,109.73
17031831400,17031222700,113.34
17031812301,17031222700,120.55
17031812801,17031222700,131.18
17031812802,17031222700,126.16
17031812302,17031222700,113.63
17031252101,17031222700,107.07
17031831600,17031222700,94.83
17031810701,17031222700,112.57
17031810900,17031222700,110.29
17031250500,17031222700,96.16
17031812200,17031222700,95.39
17031251400,17031222700,90.45
17031812100,17031222700,84.1
17031812400,17031222700,103.62
17031252000,17031222700,100.19
17031812500,17031222700,99.01
17031812600,17031222700,109.74
17031812700,17031222700,119.36
17031812900,17031222700,133.71
17031813000,17031222700,119.2
17031813100,17031222700,130.03
17031813200,17031222700,144.28
17031813400,17031222700,123.69
17031813500,17031222700,134.14
17031813600,17031222700,130.69
17031814100,17031222700,135.29
17031814600,17031222700,138.46
17031170900,17031222700,119.93
17031180100,17031222700,104.93
17031250400,17031222700,74.39
17031252102,17031222700,100.24
17031191301,17031222700,73.2
17031190601,17031222700,81.43
17031191302,17031222700,64.98
17031190401,17031222700,90.69
17031190602,17031222700,73.86
17031831500,17031222700,88.91
17031170300,17031222700,123.44
17031171000,17031222700,111.49
17031250600,17031222700,72.16
17031250700,17031222700,62.06
17031251200,17031222700,71.26
17031251300,17031222700,80.88
17031251500,17031222700,81.1
17031251900,17031222700,91.85
17031190402,17031222700,83.4
17031170100,17031222700,116.52
17031170200,17031222700,103.01
17031171100,17031222700,98.17
17031810600,17031222700,128.43
17031150502,17031222700,105.13
17031813701,17031222700,114.19
17031813802,17031222700,126.86
17031813301,17031222700,105.51
17031150501,17031222700,111.64
17031110200,17031222700,114.06
17031110300,17031222700,117.16
17031843400,17031222700,105.55
17031813702,17031222700,109.92
17031813302,17031222700,99.66
17031813801,17031222700,116.12
17031301701,17031222700,106.09
17031301803,17031222700,116.45
17031301802,17031222700,108.8
17031301801,17031222700,117.92
17031301600,17031222700,104.76
17031843500,17031222700,107.81
17031814200,17031222700,131.03
17031292500,17031222700,97.87
17031300500,17031222700,101.27
17031300600,17031222700,97.54
17031290900,17031222700,87.97
17031252201,17031222700,91.37
17031252202,17031222700,84.67
17031843000,17031222700,73.28
