origin,destination,minutes
17031530503,17031720600,80.75
17031530503,17031720200,77.88
17031530503,17031730400,78.39
17031530503,17031720500,90.51
17031530503,17031720400,98.91
17031530503,17031700502,131.91
17031530503,17031720100,101.06
17031530503,17031730201,91.43
17031530503,17031711300,102.7
17031530503,17031711500,95.06
17031530503,17031711200,113.25
17031530503,17031711100,108.55
17031530503,17031711000,108.48
17031530503,17031842400,119.16
17031530503,17031710900,108.67
17031530503,17031540101,42.53
17031530503,17031530502,16.57
17031530503,17031550200,91.23
17031530503,17031530400,25.92
17031530503,17031530501,19.49
17031530503,17031750400,73.12
17031530503,17031530300,35.73
17031530503,17031540102,39.66
17031530503,17031550100,110.83
17031530503,17031530100,42.41
17031530503,17031750500,60.22
17031530503,17031530200,29.1
17031530503,17031750600,41.86
17031530503,17031838800,126.4
17031530503,17031491400,53.99
17031530503,17031500300,60.71
17031530503,17031750200,67.47
17031530503,17031750100,49.43
17031530503,17031491100,47.84
17031530503,17031520600,148.5
17031530503,17031520500,155.84
17031530503,17031720700,68.35
17031530503,17031491000,56.95
17031530503,17031730700,59.43
17031530503,17031500200,78.84
17031530503,17031520300,149.92
17031530503,17031490700,72.04
17031530503,17031730500,67.95
17031530503,17031490600,82.4
17031530503,17031500100,99.29
17031530503,17031490500,92.61
17031530503,17031510200,130.01
17031530503,17031510100,141.36
17031530503,17031510300,128.25
17031530503,17031730100,85.76
17031530503,17031520200,152.29
17031530503,17031490400,103.74
17031530503,17031440900,113.14
17031530503,17031470100,120.39
17031530503,17031440800,117.95
17031530503,17031480500,147.9
17031530503,17031480100,146.95
17031530503,17031440202,129.36
17031530503,17031440300,124.3
17031530503,17031834300,144.74
17031530503,17031530503,0.0
17031530503,17031740400,101.05
17031530503,17031740300,107.36
17031740300,17031700100,89.16
17031740300,17031710200,136.43
17031740300,17031700200,87.82
17031740300,17031650500,117.33
17031740300,17031681300,148.94
17031740300,17031672000,128.61
17031740300,17031661000,108.7
17031740300,17031660900,116.14
17031740300,17031671500,131.16
17031740300,17031660700,127.7
17031740300,17031720600,52.35
17031740300,17031720200,67.05
17031740300,17031730400,85.87
17031740300,17031720500,43.34
17031740300,17031720400,43.6
17031740300,17031700402,71.9
17031740300,17031700502,76.5
17031740300,17031720100,77.07
17031740300,17031730201,93.99
17031740300,17031711300,93.73
17031740300,17031711500,116.05
17031740300,17031711200,102.64
17031740300,17031711100,109.36
17031740300,17031711000,116.22
17031740300,17031842400,134.77
17031740300,17031700302,74.95
17031740300,17031710900,122.66
17031740300,17031710500,111.8
17031740300,17031710700,119.71
17031740300,17031700401,81.29
17031740300,17031710800,127.1
17031740300,17031691200,141.53
17031740300,17031540101,147.16
17031740300,17031530502,112.94
17031740300,17031530400,97.24
17031740300,17031530501,104.84
17031740300,17031750400,39.91
17031740300,17031530300,73.18
17031740300,17031540102,144.3
17031740300,17031530100,107.82
17031740300,17031750500,52.02
17031740300,17031530200,93.84
17031740300,17031750600,65.97
17031740300,17031491400,106.58
17031740300,17031500300,114.74
17031740300,17031750200,48.39
17031740300,17031750100,71.04
17031740300,17031491100,83.64
17031740300,17031720700,61.92
17031740300,17031491000,93.99
17031740300,17031730700,78.55
17031740300,17031500200,118.74
17031740300,17031490700,103.02
17031740300,17031730500,95.81
17031740300,17031490600,108.93
17031740300,17031500100,136.54
17031740300,17031490500,124.81
17031740300,17031730100,106.81
17031740300,17031490400,132.83
17031740300,17031440900,142.43
17031740300,17031440300,143.74
17031740300,17031530503,107.36
17031740300,17031740400,11.77
17031740300,17031740300,0.0
17031750500,17031700100,119.55
17031750500,17031710200,103.34
17031750500,17031700200,134.79
17031750500,17031650500,164.3
17031750500,17031681300,115.23
17031750500,17031691100,116.51
17031750500,17031672000,108.83
17031750500,17031661000,113.17
17031750500,17031671500,117.84
17031750500,17031720600,27.08
17031750500,17031720200,38.94
17031750500,17031730400,52.17
17031750500,17031720500,36.21
17031750500,17031720400,47.12
17031750500,17031700402,108.01
17031750500,17031700502,90.19
17031750500,17031720100,57.15
17031750500,17031730201,64.89
17031750500,17031711300,66.77
17031750500,17031711500,82.35
17031750500,17031711200,77.32
17031750500,17031711100,82.01
17031750500,17031711000,82.51
17031750500,17031842400,101.06
17031750500,17031700302,123.84
17031750500,17031710900,88.96
17031750500,17031710500,86.04
17031750500,17031710700,91.59
17031750500,17031700401,121.19
17031750500,17031710800,93.4
17031750500,17031691200,107.83
17031750500,17031540101,100.03
17031750500,17031530502,65.81
17031750500,17031550200,148.73
17031750500,17031530400,48.4
17031750500,17031530501,57.71
17031750500,17031750400,18.63
17031750500,17031530300,25.96
17031750500,17031540102,97.16
17031750500,17031530100,60.68
17031750500,17031750500,0.0
17031750500,17031530200,46.71
17031750500,17031750600,26.86
17031750500,17031838800,137.08
17031750500,17031491400,63.63
17031750500,17031500300,71.39
17031750500,17031750200,13.39
17031750500,17031750100,33.49
17031750500,17031491100,48.01
17031750500,17031720700,26.29
17031750500,17031491000,58.37
17031750500,17031730700,42.93
17031750500,17031500200,83.12
17031750500,17031490700,69.31
