origin,destination,minutes
9001011000,36081087100,262.2
9001010101,36081087100,240.62
9001010102,36081087100,264.06
9001010201,36081087100,246.86
9001010202,36081087100,256.6
9001010300,36081087100,233.79
9001010400,36081087100,223.05
9001010500,36081087100,223.75
9001010600,36081087100,230.8
9001010700,36081087100,234.55
9001010800,36081087100,244.75
9001010900,36081087100,258.8
9001011100,36081087100,256.43
9001011200,36081087100,234.1
9001011300,36081087100,214.79
9001990000,36081087100,316.28
9001021400,36081087100,262.62
9001021500,36081087100,264.69
9001021900,36081087100,278.81
9001022100,36081087100,274.72
9001022200,36081087100,270.08
9001022300,36081087100,266.13
9001022400,36081087100,282.05
34031180900,36081087100,191.79
34031175900,36081087100,169.32
34031246103,36081087100,222.72
34031143400,36081087100,198.18
34031125100,36081087100,172.31
34031181800,36081087100,193.53
34031182500,36081087100,181.02
34031124312,36081087100,199.49
34031182400,36081087100,184.94
34031182900,36081087100,191.79
34031182200,36081087100,190.27
34031183000,36081087100,187.47
34031182700,36081087100,185.03
34031182000,36081087100,193.32
34031180800,36081087100,189.12
34031181200,36081087100,185.32
34031181702,36081087100,188.52
34031182800,36081087100,187.49
34031181500,36081087100,190.16
34031180700,36081087100,193.08
34031124601,36081087100,186.09
34031246001,36081087100,221.44
34031124401,36081087100,184.5
34031180300,36081087100,195.71
34031180600,36081087100,196.1
34031246101,36081087100,213.73
34031180100,36081087100,201.63
34031124900,36081087100,179.06
34031175200,36081087100,171.9
34031223900,36081087100,216.53
34031124311,36081087100,193.86
34031125000,36081087100,174.38
34031124700,36081087100,179.35
34031246203,36081087100,230.04
34031246300,36081087100,233.45
34027040102,36081087100,243.11
34031223801,36081087100,207.28
34031223802,36081087100,211.7
34031264101,36081087100,205.33
34031264102,36081087100,205.81
34031264200,36081087100,193.25
34031182301,36081087100,188.8
34031175302,36081087100,174.57
34003037201,36081087100,157.13
34003051100,36081087100,176.87
34003015300,36081087100,131.77
34003025200,36081087100,155.83
34003011200,36081087100,172.87
34003030400,36081087100,156.32
34003010200,36081087100,152.68
34003025100,36081087100,151.45
34003051300,36081087100,174.03
34003021600,36081087100,168.78
34003041100,36081087100,121.76
34003048200,36081087100,158.86
34003047500,36081087100,187.3
34003030100,36081087100,152.57
34023003800,36081087100,229.13
34031183200,36081087100,189.9
34031182100,36081087100,190.76
34031181300,36081087100,183.48
34031203600,36081087100,197.58
34031124323,36081087100,193.66
34031124322,36081087100,191.07
34031124602,36081087100,183.21
34031124800,36081087100,178.85
34031182600,36081087100,181.78
34031133701,36081087100,199.22
34031133702,36081087100,202.29
34031154001,36081087100,209.07
34031154002,36081087100,218.88
34031175301,36081087100,173.26
34031175701,36081087100,180.89
34031175703,36081087100,178.26
34031175704,36081087100,179.61
34031175801,36081087100,175.57
34031175802,36081087100,176.63
34031180201,36081087100,201.85
