origin,destination,minutes
34017016500,36061005200,75.22
34017016900,36061005200,76.15
34017017200,36061005200,79.78
34017017300,36061005200,75.19
34017017400,36061005200,78.56
34017017500,36061005200,74.83
34017017600,36061005200,78.71
34017980100,36061005200,91.56
34017006400,36061005200,70.14
34017006500,36061005200,77.57
34017006700,36061005200,88.15
34017007000,36061005200,72.83
34017007500,36061005200,62.2
34017018701,36061005200,67.63
34017007100,36061005200,91.41
34017007200,36061005200,81.09
34017007300,36061005200,74.84
34017007600,36061005200,67.29
34017000400,36061005200,95.85
34017001000,36061005200,93.71
34017002000,36061005200,100.67
34017002700,36061005200,109.87
34017002800,36061005200,100.73
34017002900,36061005200,99.69
34017003000,36061005200,93.85
34017003100,36061005200,89.93
34017004000,36061005200,112.58
34017004101,36061005200,101.73
34017004102,36061005200,96.35
34017004200,36061005200,105.64
34017004300,36061005200,95.39
34017004400,36061005200,101.68
34017004500,36061005200,99.15
34017004600,36061005200,90.34
34017004800,36061005200,118.68
34017004900,36061005200,114.12
34017005200,36061005200,113.86
34017005300,36061005200,107.89
34017000902,36061005200,98.67
34017001800,36061005200,106.01
34017001900,36061005200,97.42
34017006800,36061005200,107.82
34017001701,36061005200,111.19
34017018000,36061005200,59.61
34017018100,36061005200,70.96
34017000600,36061005200,90.45
34017006600,36061005200,94.59
34017007400,36061005200,59.63
34017007700,36061005200,68.64
34017007800,36061005200,75.42
34017015201,36061005200,72.63
34017015801,36061005200,58.9
34017018301,36061005200,68.02
34017018302,36061005200,54.44
34017018702,36061005200,60.76
34017018200,36061005200,69.76
34017015300,36061005200,75.87
34017014101,36061005200,88.97
34017015001,36061005200,77.17
34017016100,36061005200,63.59
34017016300,36061005200,67.84
34017015002,36061005200,80.01
34003006300,36061005200,111.79
34003018100,36061005200,113.58
34003013001,36061005200,110.53
34017002200,36061005200,80.57
34017002300,36061005200,76.78
34017002400,36061005200,79.65
34017003500,36061005200,74.62
34017004700,36061005200,88.72
34017005802,36061005200,129.29
34017018400,36061005200,62.72
34017018500,36061005200,69.83
34017018600,36061005200,66.78
34017018800,36061005200,68.46
34017018900,36061005200,75.49
34017019000,36061005200,75.29
34017019100,36061005200,69.34
34017019200,36061005200,70.29
34017019300,36061005200,61.96
34017019400,36061005200,63.07
34017000100,36061005200,86.66
34017000200,36061005200,81.77
34017000300,36061005200,78.28
34017000500,36061005200,89.29
34017000700,36061005200,86.4
34017000800,36061005200,82.56
34017001100,36061005200,87.2
34017001201,36061005200,92.69
34017001202,36061005200,90.26
34017001300,36061005200,81.45
34017001400,36061005200,89.89
34017017700,36061005200,78.54
34017017800,36061005200,71.53
34017017900,36061005200,71.12
34003018200,36061005200,121.13
34017015100,36061005200,87.21
34017015500,36061005200,79.99
34017015600,36061005200,72.7
34017015700,36061005200,72.46
34017015900,36061005200,70.27
34017016000,36061005200,74.5
34017015202,36061005200,71.8
34017020100,36061005200,143.14
34017012700,36061005200,445.75
34017014000,36061005200,104.62
34017014400,36061005200,107.44
34017014600,36061005200,79.4
34017014700,36061005200,82.14
34017014800,36061005200,85.47
34017014900,36061005200,82.69
34017016200,36061005200,70.66
34017016400,36061005200,72.99
34017016600,36061005200,79.48
34017016700,36061005200,82.0
34017016800,36061005200,78.66
34017017000,36061005200,79.32
34017017100,36061005200,84.41
34017019900,36061005200,132.79
34017014102,36061005200,92.89
34017014501,36061005200,94.98
34017014502,36061005200,88.07
34017020000,36061005200,120.39
34017006900,36061005200,110.87
34017015802,36061005200,66.01
34017019800,36061005200,129.34
34017032400,36061005200,81.84
34017014200,36061005200,85.81
34017014300,36061005200,96.0
36047001800,36061005200,117.83
36047005300,36061005200,95.35
36047011700,36061005200,103.83
36047014100,36061005200,108.97
36047014300,36061005200,109.97
36047014500,36061005200,113.2
36047014900,36061005200,113.63
36047017700,36061005200,117.26
36061000500,36061005200,76.32
36047011900,36061005200,90.43
36047007700,36061005200,87.62
36047008500,36061005200,97.16
36047013900,36061005200,105.01
36047015100,36061005200,108.64
36047016700,36061005200,110.72
36061000100,36061005200,104.31
36047004700,36061005200,78.56
36047005100,36061005200,83.34
36047005900,36061005200,93.23
36047006300,36061005200,85.74
36047006500,36061005200,89.35
36047012100,36061005200,99.48
36047013500,36061005200,97.18
36047013700,36061005200,100.77
36047015300,36061005200,104.64
36047007500,36061005200,81.79
36047013300,36061005200,93.26
36047015500,36061005200,100.7
36047015700,36061005200,96.46
36047016500,36061005200,101.85
36047021300,36061005200,110.19
36047006700,36061005200,82.01
36047013100,36061005200,89.28
36047004900,36061005200,79.2
36047007100,36061005200,79.85
36047015900,36061005200,93.27
36047032500,36061005200,114.01
36047004500,36061005200,76.09
36047006900,36061005200,76.08
36047012700,36061005200,82.47
36047012901,36061005200,83.97
36061031900,36061005200,56.01
36061000900,36061005200,52.26
36061031704,36061005200,54.24
36047000301,36061005200,70.29
36047000700,36061005200,73.77
36047000900,36061005200,70.08
36047004100,36061005200,75.38
36047004300,36061005200,71.73
36047032100,36061005200,119.97
36047032300,36061005200,116.8
36047020500,36061005200,95.99
36047020700,36061005200,97.42
36047021500,36061005200,102.41
36047021700,36061005200,106.04
36047003900,36061005200,77.53
36047012902,36061005200,85.65
36047016100,36061005200,87.05
36047016300,36061005200,90.97
36047031702,36061005200,115.66
36047031900,36061005200,121.51
36047019900,36061005200,88.26
36047020300,36061005200,94.62
36047003300,36061005200,75.52
36047003500,36061005200,79.54
36047003700,36061005200,71.83
36047021900,36061005200,110.0
36047030500,36061005200,102.04
36047000501,36061005200,68.94
36047017900,36061005200,84.33
36061000700,36061005200,50.19
36047031701,36061005200,112.95
36047001100,36061005200,65.81
36047001300,36061005200,60.43
36047020100,36061005200,92.18
36047003100,36061005200,69.97
36047022100,36061005200,106.38
36047000502,36061005200,67.29
36047001500,36061005200,65.11
36047018100,36061005200,81.12
36047033700,36061005200,125.38
36047033900,36061005200,123.85
36047052700,36061005200,70.42
36061001401,36061005200,37.05
36061001600,36061005200,32.57
36061031703,36061005200,43.78
36047052300,36061005200,65.51
36061004100,36061005200,27.6
36061003900,36061005200,34.23
36061003300,36061005200,32.13
36061001402,36061005200,33.54
36061001200,36061005200,38.05
36061001002,36061005200,37.24
36061001800,36061005200,28.95
36061004700,36061005200,24.45
36061002201,36061005200,33.1
36061004500,36061005200,25.96
36047055100,36061005200,62.09
36047048500,36061005200,89.63
36047041700,36061005200,113.31
36047049300,36061005200,82.78
36047042100,36061005200,105.64
36047042300,36061005200,101.83
36047042500,36061005200,98.36
36047050500,36061005200,79.53
36047051300,36061005200,71.92
36061003001,36061005200,27.43
36061009900,36061005200,26.26
36061008700,36061005200,11.76
36061006200,36061005200,25.49
36061005800,36061005200,10.66
36061006000,36061005200,17.87
36061002202,36061005200,29.75
36061003400,36061005200,17.66
36061002601,36061005200,28.59
36061006600,36061005200,17.64
36061003601,36061005200,23.3
36061002400,36061005200,28.46
36061006800,36061005200,11.3
36061003200,36061005200,21.68
36061007500,36061005200,22.79
36061005501,36061005200,16.26
36061003002,36061005200,24.98
36061004800,36061005200,9.02
36061002800,36061005200,22.98
36061005900,36061005200,9.8
36061005700,36061005200,11.11
36061003602,36061005200,19.78
36061004200,36061005200,8.36
36061002000,36061005200,32.97
36061004300,36061005200,22.52
36061008100,36061005200,9.6
36061005502,36061005200,18.63
36061006500,36061005200,16.61
36061003800,36061005200,16.39
36061005000,36061005200,4.49
36061006400,36061005200,13.43
36061008300,36061005200,15.96
36061007900,36061005200,21.48
36061006100,36061005200,6.94
36061002602,36061005200,26.08
36061006900,36061005200,24.14
36047031500,36061005200,109.56
36047034100,36061005200,118.47
36047123700,36061005200,85.97
36047025300,36061005200,88.34
36047038300,36061005200,113.87
36047026100,36061005200,92.38
36047029300,36061005200,106.22
36047027900,36061005200,100.4
36047053700,36061005200,76.02
36047037700,36061005200,117.93
36047038500,36061005200,109.51
36047025500,36061005200,83.42
36047025901,36061005200,89.46
36047029100,36061005200,102.43
36047028100,36061005200,96.9
36047025700,36061005200,84.3
36047053900,36061005200,71.16
36047038700,36061005200,106.1
36047025902,36061005200,87.84
36047028300,36061005200,92.56
36047028900,36061005200,102.83
36047053100,36061005200,77.76
36061000201,36061005200,41.56
36061000202,36061005200,44.49
36061000600,36061005200,39.6
36047054500,36061005200,66.51
36047037300,36061005200,122.0
36047037500,36061005200,113.74
36047028501,36061005200,87.98
36047028502,36061005200,89.72
36047028700,36061005200,96.08
36047050700,36061005200,80.54
36047053300,36061005200,71.52
36047053500,36061005200,66.47
36047050900,36061005200,76.37
36061001001,36061005200,43.84
36047054700,36061005200,62.91
36047048900,36061005200,87.74
36047049100,36061005200,81.0
36047038900,36061005200,90.82
36047039100,36061005200,94.63
36047039300,36061005200,99.75
36047039500,36061005200,106.18
36047039700,36061005200,113.8
36047039900,36061005200,115.25
36047041900,36061005200,109.43
36047052900,36061005200,71.89
36061002900,36061005200,33.27
36047052500,36061005200,63.78
36061002700,36061005200,36.86
36061003100,36061005200,32.3
36061002100,36061005200,37.66
36047054900,36061005200,60.47
36047051100,36061005200,75.43
36047034300,36061005200,121.88
36047022700,36061005200,98.68
36047023100,36061005200,95.64
36047024700,36061005200,108.7
36047031300,36061005200,114.73
36047019700,36061005200,87.24
36047022900,36061005200,95.6
36047024500,36061005200,101.12
36047018300,36061005200,78.36
36047034500,36061005200,127.17
36047019300,36061005200,88.89
36047019500,36061005200,82.63
36047002901,36061005200,69.28
36047023300,36061005200,92.16
36047024300,36061005200,94.96
36047024900,36061005200,102.23
36047026700,36061005200,103.94
36047026900,36061005200,108.33
36047027100,36061005200,114.5
36047030900,36061005200,122.08
36047031100,36061005200,118.53
36061001502,36061005200,46.39
36047000100,36061005200,63.58
36047021100,36061005200,71.48
36047018501,36061005200,74.51
36047018700,36061005200,77.8
36047019100,36061005200,82.28
36047002300,36061005200,61.02
36047023500,36061005200,85.51
36047024100,36061005200,87.83
36047025100,36061005200,96.15
36047026500,36061005200,100.02
36047027300,36061005200,112.72
36047054300,36061005200,76.89
36047002100,36061005200,50.48
36061001300,36061005200,49.28
36061001501,36061005200,44.44
36061002500,36061005200,39.9
36061000800,36061005200,38.22
36047027500,36061005200,108.56
36047029700,36061005200,115.41
36047029900,36061005200,123.48
36047038100,36061005200,119.39
36047026300,36061005200,97.03
36047027700,36061005200,104.1
36047029500,36061005200,110.14
36061007100,36061005200,14.15
36061007300,36061005200,17.75
36061004000,36061005200,12.52
36061006700,36061005200,20.2
36061004900,36061005200,20.48
36061005200,36061005200,0.0
36061005600,36061005200,8.74
36061008900,36061005200,17.71
36061006300,36061005200,10.06
36061005400,36061005200,4.17
36061009100,36061005200,15.28
36061007700,36061005200,16.38
36061003700,36061005200,25.0
36061004400,36061005200,17.21
36047055300,36061005200,66.79
36047055500,36061005200,70.09
36047055700,36061005200,72.93
36047056300,36061005200,60.53
36047056500,36061005200,59.89
36047056900,36061005200,71.99
36047057100,36061005200,74.62
36047057300,36061005200,70.48
36047057500,36061005200,61.42
36047057900,36061005200,59.36
36047058900,36061005200,77.56
36047059100,36061005200,81.04
36047059300,36061005200,83.67
36047056100,36061005200,66.13
36047044900,36061005200,89.89
36047041500,36061005200,117.65
36047049500,36061005200,81.18
36047049700,36061005200,82.65
36047049900,36061005200,78.4
36047050100,36061005200,78.24
36047042700,36061005200,100.39
36047042900,36061005200,105.18
36047043100,36061005200,109.32
36047043300,36061005200,115.94
36047043500,36061005200,118.57
36047043700,36061005200,123.15
36047043900,36061005200,120.87
36047044100,36061005200,116.11
36047044300,36061005200,113.18
36047050300,36061005200,76.94
36047051500,36061005200,78.19
36047051700,36061005200,72.58
36047051900,36061005200,71.17
36047044500,36061005200,109.39
36047044700,36061005200,105.79
36047045300,36061005200,97.15
36047047700,36061005200,86.12
36047048100,36061005200,86.88
36081053500,36061005200,113.24
36081053900,36061005200,111.9
36081054500,36061005200,116.26
36081054900,36061005200,122.94
36081055300,36061005200,123.64
36081054700,36061005200,119.74
36081055100,36061005200,126.23
36081059100,36061005200,118.41
36081021900,36061005200,103.58
36061009300,36061005200,21.75
36061007600,36061005200,17.08
36061009500,36061005200,17.28
36061007200,36061005200,18.74
36061009700,36061005200,23.73
36061007400,36061005200,16.23
36061010300,36061005200,26.77
36061012900,36061005200,42.77
36061010601,36061005200,50.53
36061011401,36061005200,45.84
36061009600,36061005200,32.38
36061011203,36061005200,43.84
36061009000,36061005200,37.62
36061011500,36061005200,33.79
36061014700,36061005200,54.57
36061010400,36061005200,40.27
36061014900,36061005200,52.39
36061014300,36061005200,74.31
36061011201,36061005200,43.57
36061012200,36061005200,51.26
36061007000,36061005200,22.64
36061010200,36061005200,36.72
36061008000,36061005200,23.75
36061012100,36061005200,36.87
36061009200,36061005200,33.51
36061014500,36061005200,50.02
36061008400,36061005200,22.31
36061010000,36061005200,40.88
36061011100,36061005200,30.58
36061008800,36061005200,32.46
36061010100,36061005200,18.77
36061010900,36061005200,25.64
36061009800,36061005200,42.16
36061008200,36061005200,21.77
36061011700,36061005200,41.99
36061007800,36061005200,27.85
36061012000,36061005200,53.0
36061013500,36061005200,53.01
36061013700,36061005200,42.48
36061012700,36061005200,39.92
36061009400,36061005200,31.71
36061011000,36061005200,52.78
36061010602,36061005200,57.86
36061010800,36061005200,47.05
36061012500,36061005200,34.92
36061011202,36061005200,43.04
36061011402,36061005200,47.86
36061013900,36061005200,46.38
36061013300,36061005200,43.22
36061011300,36061005200,24.85
36061011900,36061005200,29.67
36061015100,36061005200,58.07
36061013100,36061005200,38.33
36061008601,36061005200,30.12
36061008603,36061005200,46.35
36061023801,36061005200,67.79
36061008602,36061005200,43.6
36081019900,36061005200,71.26
36081017100,36061005200,85.3
36081000700,36061005200,55.81
36081000100,36061005200,49.55
36081001900,36061005200,63.96
36081020500,36061005200,89.94
36081058500,36061005200,131.59
36081058700,36061005200,134.15
36081058900,36061005200,124.06
36081059300,36061005200,124.84
36081059500,36061005200,117.66
36081053100,36061005200,107.82
36081017900,36061005200,81.93
36081018700,36061005200,83.58
36081018900,36061005200,80.98
36081022900,36061005200,116.19
36081052500,36061005200,114.61
36081059900,36061005200,118.54
36081060100,36061005200,119.96
36081060300,36061005200,125.97
36081061301,36061005200,132.88
36081051100,36061005200,118.4
36081051700,36061005200,114.14
36081052100,36061005200,115.84
36081060701,36061005200,128.6
36081016100,36061005200,84.95
36081016300,36061005200,86.3
36081048300,36061005200,114.99
36081048900,36061005200,117.23
36081049301,36061005200,118.05
36081049302,36061005200,124.34
36081049500,36061005200,126.04
36081049700,36061005200,125.87
36081051300,36061005200,116.93
36081029500,36061005200,87.33
36081024700,36061005200,109.49
36081024900,36061005200,105.0
36081025500,36061005200,95.29
36081025700,36061005200,96.47
36081025900,36061005200,99.34
36081026100,36061005200,102.96
36081026300,36061005200,107.3
36081004500,36061005200,64.26
36081005900,36061005200,74.0
36081006100,36061005200,71.79
36081007500,36061005200,65.39
36081007700,36061005200,59.52
36081008100,36061005200,53.13
36061014401,36061005200,51.89
36061014601,36061005200,57.07
36061015200,36061005200,51.27
36061015001,36061005200,65.14
36061014402,36061005200,49.32
36061014802,36061005200,58.38
36061014801,36061005200,61.4
36061014602,36061005200,55.0
36081007900,36061005200,56.74
36061017300,36061005200,75.87
36061015002,36061005200,62.16
36081023500,36061005200,90.28
36081066701,36061005200,126.7
36061015500,36061005200,61.53
36061012600,36061005200,61.81
36061011600,36061005200,60.0
36061012800,36061005200,60.16
36061011800,36061005200,56.98
36061012400,36061005200,65.39
36061013000,36061005200,58.2
36061015700,36061005200,59.71
36061015300,36061005200,56.18
36081018101,36061005200,84.33
36081018102,36061005200,86.9
36081018501,36061005200,85.12
36081018502,36061005200,85.9
36081018300,36061005200,88.5
36081002500,36061005200,71.3
36081003100,36061005200,78.16
36081003700,36061005200,62.61
36081003900,36061005200,63.17
36081003300,36061005200,76.26
36081008500,36061005200,66.39
36061015900,36061005200,63.58
36061016100,36061005200,63.29
36061016300,36061005200,66.07
36061013400,36061005200,65.35
36061013200,36061005200,59.84
36061023802,36061005200,82.93
36081004300,36061005200,65.8
36081005100,36061005200,77.41
36061016500,36061005200,68.81
36061016700,36061005200,69.44
36061016900,36061005200,72.21
36061017100,36061005200,73.82
36061013800,36061005200,60.69
36061014200,36061005200,65.28
36061014000,36061005200,65.67
36081024300,36061005200,107.27
36081025301,36061005200,92.0
36081005500,36061005200,82.76
36081025302,36061005200,97.0
36081015700,36061005200,81.71
36081051500,36061005200,113.0
36081004700,36061005200,69.47
36081005300,36061005200,70.81
36061013600,36061005200,55.13
36081016900,36061005200,96.75
36081024500,36061005200,104.05
36081025100,36061005200,98.85
36081005700,36061005200,77.35
36081015300,36061005200,80.3
36081015500,36061005200,77.45
36081015900,36061005200,82.93
36061021800,36061005200,87.66
36061020500,36061005200,102.37
36061021600,36061005200,84.1
36061015400,36061005200,55.87
36061015801,36061005200,61.18
36061015601,36061005200,55.21
36061024000,36061005200,86.21
36061018000,36061005200,70.25
36061016002,36061005200,63.51
36061017000,36061005200,64.13
36061018100,36061005200,79.21
36061017402,36061005200,76.46
36061016400,36061005200,59.62
36061018200,36061005200,76.29
36061018500,36061005200,79.72
36061019000,36061005200,84.95
36061018800,36061005200,75.03
36061017401,36061005200,73.05
36061017800,36061005200,73.16
36061018400,36061005200,79.52
36061016200,36061005200,61.48
36061018600,36061005200,80.61
36061016600,36061005200,63.34
36061017700,36061005200,79.9
36061015602,36061005200,56.77
36061015802,36061005200,59.59
36061016800,36061005200,67.7
36061016001,36061005200,64.27
36061017200,36061005200,69.82
36061018300,36061005200,85.1
36061017500,36061005200,78.14
36061020102,36061005200,92.25
36061019701,36061005200,94.58
36061019500,36061005200,93.45
36061018900,36061005200,82.55
36061020101,36061005200,96.1
36061020300,36061005200,100.84
36061019702,36061005200,88.11
36061019100,36061005200,89.81
36061019300,36061005200,87.35
36061017900,36061005200,81.53
36061022000,36061005200,91.81
36061018700,36061005200,86.38
36061019900,36061005200,96.86
36081008700,36061005200,52.61
36081009100,36061005200,60.87
36081009500,36061005200,67.89
36081009700,36061005200,70.68
36081009900,36061005200,68.34
36081010100,36061005200,74.33
36081010300,36061005200,76.69
36081010500,36061005200,82.59
36081011100,36061005200,84.19
36081011300,36061005200,82.07
36081006300,36061005200,70.78
36081006900,36061005200,63.64
36081007100,36061005200,64.11
36081007300,36061005200,62.67
36081008300,36061005200,58.46
36081012500,36061005200,71.25
36081006501,36061005200,71.73
36081006502,36061005200,74.87
36081030904,36061005200,100.77
36081011500,36061005200,75.15
36081011700,36061005200,78.01
36081011900,36061005200,82.05
36081012100,36061005200,85.94
36081013500,36061005200,90.28
36081013700,36061005200,83.11
36081014100,36061005200,80.01
36081014300,36061005200,79.18
36081014500,36061005200,83.5
36081014700,36061005200,79.13
36081014900,36061005200,77.47
36081015100,36061005200,80.73
36081048500,36061005200,126.42
36081026500,36061005200,109.81
36081028900,36061005200,106.86
36081029100,36061005200,104.07
36081029300,36061005200,98.62
36081029700,36061005200,89.45
36081029900,36061005200,97.69
36081030902,36061005200,98.37
36081031700,36061005200,97.02
