,origin,destination,minutes
3264885,36047034800,36085011201,295.49
3264888,36047034800,36085007400,266.99
3264893,36047034800,36085001800,261.43
3264899,36047034800,36047005601,83.86
3264900,36047034800,36047005400,86.97
3264901,36047034800,36047005202,90.61
3264902,36047034800,36047005201,91.13
3264904,36047034800,36047005000,90.31
3264905,36047034800,36047004600,90.63
3264906,36047034800,36047004400,96.69
3264921,36047034800,36047013200,81.48
3264926,36047034800,36047012801,84.08
3264931,36047034800,36047012600,92.94
3264953,36047034800,36047007000,100.84
3264962,36047034800,36047002200,106.55
3264976,36047034800,36047008600,105.27
3264977,36047034800,36047003800,102.31
3264979,36047034800,36047003400,105.74
3264996,36047034800,36047017600,44.71
3264997,36047034800,36047016800,53.73
3264998,36047034800,36047017400,48.48
3264999,36047034800,36047015400,57.56
3265000,36047034800,36047005602,81.29
3265001,36047034800,36047016400,66.56
3265014,36047034800,36047029200,34.09
3265015,36047034800,36047028600,36.19
3265016,36047034800,36047028200,39.14
3265017,36047034800,36047028000,42.04
3265042,36047034800,36047033600,23.32
3265047,36047034800,36047046202,67.16
3265049,36047034800,36047045800,72.04
3265051,36047034800,36047046201,72.89
3265055,36047034800,36047048400,81.72
3265056,36047034800,36047046000,79.79
3265057,36047034800,36047048200,80.67
3265059,36047034800,36047049000,86.23
3265068,36047034800,36047049400,92.42
3265074,36047034800,36047017700,119.43
3265090,36047034800,36047043800,50.19
3265092,36047034800,36047044000,54.73
3265094,36047034800,36047044400,58.56
3265095,36047034800,36047044800,61.04
3265096,36047034800,36047045000,64.11
3265097,36047034800,36047045200,65.7
3265098,36047034800,36047036001,22.01
3265099,36047034800,36047036200,22.46
3265100,36047034800,36047035602,15.04
3265101,36047034800,36047035400,15.98
3265102,36047034800,36047035601,14.47
3265103,36047034800,36047036600,21.42
3265105,36047034800,36047034000,20.87
3265106,36047034800,36047035200,15.92
3265111,36047034800,36047033000,21.33
3265112,36047034800,36047034800,0.0
3265117,36047034800,36047036400,20.61
3265119,36047034800,36047037401,23.65
3265120,36047034800,36047037000,26.99
3265128,36047034800,36047039000,30.98
3265130,36047034800,36047039200,36.63
3265131,36047034800,36047039400,39.63
3265136,36047034800,36047041402,43.02
3265137,36047034800,36047041600,45.35
3265139,36047034800,36047041800,48.82
3265143,36047034800,36047042200,46.22
3265146,36047034800,36047042000,53.45
3265149,36047034800,36047044200,56.86
3265167,36047034800,36047061002,33.14
3265168,36047034800,36047036002,27.26
3265188,36047034800,36047061600,46.97
3265227,36047034800,36047066600,87.05
3265234,36047034800,36047070201,104.27
3265239,36047034800,36047069602,106.11
3265278,36047034800,36047099800,123.29
3265294,36047034800,36081091800,146.65
3273238,36085015400,36085012804,50.85
3273240,36085015400,36085011201,76.96
3273243,36085015400,36085027900,48.94
3273244,36085015400,36085012806,39.11
3273246,36085015400,36085013800,37.46
3273250,36085015400,36085018100,65.02
3273253,36085015400,36085027302,85.66
