"census_tract","femaleP","childP","Ov70P","IncomeBl10KP","Income50K200KP","IncomeOv200KP","InLaborP","ByCarP","ByCabMotorBicycleP","CommuteOv20minP","NHwhiteP","blackP","AmIndP","asianP","hisP","minDisHosp","FQHCdrivetime","FQHCcount","Hospdrivetime","Hospcount","Rxdrivetime","Rxcount","MHdrivetime","MHcount","noHSP","disbP","SDOH","unempP","povP","pciE","NoIntPct","essnWrkP","vacantP","mobileP"
17031611300,45.6505003849115,31.3702848344881,5.15781370284834,11.6586538461538,22.7163461538462,0,63.981288981289,38.6694386694387,0.883575883575884,40.7484407484407,7.08237105465743,10.6620477290223,0,0,85.5658198614319,3.39,0,213,7.11,58,1.08,647,6.77,98,37.87,7.2,5,17.3,25.8,12873,30.07,67.29,21.96,0
17031830006,52.6761819803747,22.8813559322034,10.5709188224799,8.25958702064897,49.2625368731563,4.8180924287119,62.3941276115189,45.3980801806889,0.677583286278938,38.5093167701863,39.7413024085638,46.6547725245317,0,0.847457627118644,6.46743978590544,2.47,5.53,41,8.2,15,4.61,224,0,27,5.45,10.4,2,5.8,12.4,31704,13.66,33.02,11.3,0
17031580501,45.6777996070727,33.0058939096267,4.08644400785855,5.80736543909348,36.0481586402266,0,67.2852598091198,38.7592788971368,0.980911983032874,47.3753976670201,6.54223968565815,2.69155206286837,3.24165029469548,4.44007858546169,88.5461689587426,3.27,0,203,6.54,58,2.17,658,4.07,96,35.42,5.4,5,10.6,25.5,16337,26.79,71.68,11.91,0
17197883401,53.6192364898364,28.8299454635597,10.7585523054041,5.0125313283208,45.2380952380952,2.44360902255639,57.0603337612324,49.2618741976893,0.256739409499358,31.9640564826701,92.4640555280119,0.768468021814576,0.173525037183937,0.966782350024789,3.49529003470501,20.24,27.14,4,29.93,1,0,24,27.14,3,7.6,12,3,6.5,16.8,29132,18.61,56.69,3.99,3.03
17197881011,53.3517835178352,28.1057810578106,10.0553505535055,4.54132606721163,63.2152588555858,8.17438692098093,65.0515070583747,59.3285005723006,0,46.5089660434949,95.5104551045511,0,0.30750307503075,0.891758917589176,3.29028290282903,8.35,16.68,19,15.55,12,4.31,248,9.67,29,5.95,4.9,2,3.5,2,37114,8.33,46.84,2.62,0.79
17043843500,56.3520227111427,24.2193044712562,10.2732434350603,4.59817729908865,60.3562551781276,2.94117647058824,74.9618985412584,54.3217940344002,1.06684084476377,40.5834966252994,79.9148332150461,2.57274662881476,1.10007097232079,5.42938254080908,10.3619588360539,3.89,10.04,60,10.34,32,0,410,7.55,58,5.76,7.4,2,1.8,4.4,41460,9.44,28.43,5.02,0
17043843700,48.9273356401384,28.881199538639,7.88927335640138,4.72334682860999,69.5681511470985,7.15249662618084,71.2316451902907,58.3458195984417,0.299670362601139,42.643092598142,86.8281430219147,1.40715109573241,0,2.65282583621684,8.37370242214533,3.29,12.89,85,9.61,39,4.14,424,6.27,63,3.8,9.6,3,2.4,7,36014,7.34,35.76,5.4,0
17031090300,48.8086087624904,23.8278247501922,12.7594158339739,4.1015625,55.859375,10.546875,66.7961165048544,44.0776699029126,2.52427184466019,47.7669902912621,90.6225980015373,0,0,5.07302075326672,3.84319754035357,1.09,9.25,152,3.24,53,3.24,693,8.09,97,3.4,8.1,2,0.5,3.4,46663,11.56,43.2,8.47,0
17031804511,49.1302804401846,32.6588569400071,2.30741924032659,3.80952380952381,51.4285714285714,4.16666666666667,75.5345599204376,63.7493784186972,1.93933366484336,52.0139234211835,22.6127085552006,7.77422790202343,1.13596024139155,10.1171458998935,59.3184238551651,1.59,5.95,28,7.51,16,2.67,282,7.51,35,26.43,8.5,5,1.2,19.4,23484,20.03,65.58,7.59,0
17031081402,58.1400253057782,8.87811050189793,4.99789118515394,5.89868147120055,48.4385843164469,24.4968771686329,70.0179937022042,26.3382816014395,5.06072874493927,38.3940620782726,68.2623365668494,4.55504006748208,0.780261493040911,20.8350906790384,2.76254744833404,0.61,1.14,203,1.14,59,0,659,0.47,97,0.95,5.5,6,2.7,11.1,110497,1.5,26.66,24.64,0
