"census_tract","femaleP","childP","Ov70P","IncomeBl10KP","Income50K200KP","IncomeOv200KP","InLaborP","ByCarP","CommuteOv20minP","NHwhiteP","blackP","asianP","hisP","minDisHosp","FQHCdrivetime","FQHCcount","Hospdrivetime","Hospcount","Rxdrivetime","Rxcount","MHdrivetime","MHcount","noHSP","disbP","SDOH","unempP","povP","pciE","NoIntPct","essnWrkP","vacantP","mobileP"
36047109800,50.709219858156,30.8067375886525,5.0531914893617,8.65874363327674,41.7657045840407,2.54668930390492,64.2731018246027,15.5385520894644,49.6174220129488,1.32978723404255,83.8652482269504,3.8563829787234,11.7464539007092,0.79,0,305,2.98,62,1.85,2326,0,226,21.56,8.8,4,7.2,26.2,21464,17.8,54.88,12.52,0
36081001200,50.8779352654961,26.7400042310133,7.59466892320711,5.6390977443609,60.9774436090226,4.51127819548872,65.8038147138965,26.9209809264305,56.3487738419619,21.5358578379522,3.17325999576899,16.374021578168,57.3936957901417,3.14,5.54,479,6.98,72,0,2824,6.64,285,19.13,5.7,6,4.9,5.4,25083,11.42,48.47,8.35,0
34031124601,54.3009727255388,25.6532519549876,14.5145908830822,8.50649350649351,44.1558441558442,3.11688311688312,58.030082484231,45.0024260067928,33.672974284328,43.7154300972726,3.01354186534427,9.87983978638184,42.4947549113103,1.56,5.67,318,3.43,75,2.19,1979,2.67,223,14.06,13.3,2,6.5,21,23538,28.64,43.24,4.88,0
36047005000,52.3887300939159,22.2948142098816,5.47162106982442,3.43511450381679,64.3129770992366,16.2213740458015,68.7687687687688,34.8848848848849,46.3963963963964,78.2768476929359,1.26582278481013,6.65577786851776,12.5357288689261,1.75,2.05,268,6.61,49,2.63,1927,4.46,181,3.32,6.9,6,6.8,3.3,62523,7.29,28.02,19.27,0
36103135004,50,22.4687933425798,14.5631067961165,2.1978021978022,45.4545454545455,41.3586413586414,67.0656211308295,57.1192736277342,39.991745769707,88.3841886269071,1.45631067961165,2.32316227461859,5.85991678224688,4.31,14.69,10,16.27,6,10.24,172,11.06,20,1.8,8.3,2,3.9,5.5,98476,3.8,30.41,18.68,0.24
36119002700,57.680325904625,34.0522405942967,5.00838725137791,8.20419325432999,45.0319051959891,4.55788514129444,66.4086166273982,33.1538202625379,46.7182766745204,1.05439731607956,82.8660436137072,2.89959261921879,13.8509465612269,1.17,0,333,4.23,70,1.89,1911,2.45,239,12.16,9.5,4,12,22.8,22275,13.79,53.98,11.42,0
34003048100,47.752537457709,24.7704204929918,9.7148380860319,3.6914963744232,59.4594594594595,12.4588002636783,69.4553114655432,45.7117062894974,46.0126391814625,46.2542290961817,0.942484291928468,32.7936201063316,13.6056065732238,3.54,4.71,352,6.47,81,0,2262,4.71,256,8.56,5.6,2,1.8,11.2,43546,10.8,35.91,6.29,0.61
36081079900,49.3526510480888,22.1639950678175,11.3131935881628,13.9121338912134,43.6192468619247,2.30125523012552,54.3447293447293,22.3290598290598,36.0042735042735,14.3033292231813,2.03452527743527,66.4919852034525,17.170160295931,0.14,2.58,495,0,87,0,3124,2.58,327,31.04,5,5,10.9,23.8,18320,25.92,59.05,10.49,0
34013019300,46.5157306674507,22.1699500147016,7.08615113201999,6.13496932515337,53.4423994546694,13.3605998636673,66.6903661571276,36.0824742268041,45.4319232136509,63.9811820052926,24.6104087033226,5.11614231108497,3.61658335783593,2.04,4.9,79,4.69,46,0,1084,4.69,109,4.88,9.5,6,7.3,13.9,56564,9.63,28.28,10.06,0
36087013401,51.7980790708063,25.0614250614251,18.8742461469734,2.17391304347826,62.4505928853755,17.6548089591568,61.8817509948835,51.7907902217169,33.6270608300171,71.364753182935,0.893455438909984,16.0151887424615,11.2798749162386,5.86,12.57,87,12.57,27,4.39,581,8.28,84,8.06,7.9,2,3.4,2.3,47852,7.13,36.95,3.31,0
36081053800,61.0259433962264,26.5919811320755,5.77830188679245,5.20361990950226,62.89592760181,5.42986425339367,68.2326621923937,36.9127516778523,48.8441461595824,1.06132075471698,88.7971698113208,3.41981132075472,5.8372641509434,2.31,5.08,417,6.79,77,1.85,2605,4.27,277,12.9,12.5,2,8.1,10.9,24198,10.29,53.64,2.16,0
36103159406,49.4486104984561,22.8716365240406,10.8513453903838,4.77471418964358,60.7935440484196,7.66644250168124,65.9210162938415,57.7188621927644,41.1764705882353,75.0551389501544,5.46978385531539,0.70577856197618,18.1737979708866,12.55,11.5,7,21.37,2,0,70,17.27,9,9.39,8.3,2,4.3,5.6,32850,6.39,47.01,10.1,0
36081050800,51.4626218851571,31.6901408450704,9.0465872156013,7.84313725490196,67.0588235294118,0,64.812030075188,32.3308270676692,46.9172932330827,2.70855904658722,83.477789815818,0.920910075839653,6.17551462621885,1.75,5.66,445,7.89,79,0,2731,3.15,294,15.76,6.9,4,9.2,14.5,28531,22.31,64.98,8.11,1.92
34017011000,41.5364001786512,26.3957123715945,5.71683787405092,5.82639714625446,51.8430439952438,0,64.1097424412094,37.6259798432251,32.6987681970885,38.8566324251898,11.701652523448,18.0884323358642,33.318445734703,0.75,6.52,211,3.26,60,0,1737,1.88,163,12.35,9.9,6,7.9,19.1,25384,15.52,46.9,16.46,0
36103159106,43.5980076179314,25.7984178142397,4.24846176384413,4.91721023582539,64.3753135975916,6.22177621675865,60.2239884393064,53.0346820809249,37.1206647398844,59.6689129797832,13.3899794901846,5.17140345736888,20.1435687078816,4.43,9.44,12,8.93,6,0,182,0,23,10.48,7.5,2,4.4,8.8,32997,5.85,43.04,7.12,0
34031175601,55.0113378684807,47.3469387755102,3.12925170068027,0,51.4910536779324,26.441351888668,65.6084656084656,45.6538170823885,31.8216175359033,93.7868480725623,0,1.63265306122449,3.53741496598639,1.2,4.16,357,2.87,80,1.8,2264,2.03,247,5.91,4.4,3,5.1,6.6,37727,1.04,25.5,11.36,2.6
34017002900,48.1964161042588,25.6690714451943,3.44426343960903,6.91085003455425,44.1603317208017,5.25224602626123,63.1548974943052,15.00569476082,38.6104783599089,32.9299511286944,12.9625319990691,30.2769373981848,23.9003956248545,1.46,1.76,470,4.17,94,0,2872,4.17,309,8.44,8.2,6,9.9,15,28521,9.4,39.54,10.48,0
34013004100,56.8585028126352,26.5253137170056,8.65426222414539,25.7647058823529,27.6470588235294,1.17647058823529,54.6970539188438,27.5152862701501,22.2345747637576,0,92.9035049762008,0,5.27909995672869,1.44,3.21,145,3.53,66,2.52,1542,3.08,164,16,18.8,6,26.2,34.5,15345,35.71,54.89,20.83,0
36047027400,50.3242542153048,23.2490272373541,11.284046692607,7.84508440913605,42.40317775571,5.56107249255213,52.8152260111023,15.979381443299,44.8057097541634,45.1037613488975,0.0972762645914397,44.7470817120623,10.0518806744488,2.02,3.12,262,7.31,48,1.56,1953,2.34,181,27.93,7.8,6,4.1,17.9,28704,11.28,46.88,2.5,0
36119005902,47.8579698957931,19.2010806638364,12.3890389810884,3.22180916976456,55.5968608013218,7.7240809582817,69.3974272173324,45.2945159106297,41.7061611374408,59.8996526437669,18.7958317252026,6.07873407950598,16.8853724430722,1.39,8.8,280,3.91,58,1.59,1471,1.59,186,7.23,9.9,6,7.3,1.4,64129,12.2,35.24,2.43,0
34025801900,55.9322033898305,21.5408320493066,7.51926040061633,8.43373493975904,54.5933734939759,4.06626506024096,74.9715153816939,53.7789593619445,45.6133687808583,66.964560862866,6.99537750385208,5.30046224961479,18.828967642527,2.9,0,14,9.7,21,0,368,6.38,37,12.37,11.1,2,8.2,7.5,35059,10.92,54.66,9.11,0
34023002805,48.2564679415073,22.0847394075741,11.6985376827897,1.24575311438279,66.5911664779162,10.079275198188,66.4687071722248,52.4440383736866,40.7948835084513,64.4919385076865,7.61154855643045,8.99887514060742,17.8477690288714,4.23,12.31,38,9.35,29,3.29,591,9.21,60,6.02,11.4,2,4.9,3.5,36836,13.39,47.12,10.87,0
